03_COLUMN,JN_DEL_STAVBE,,7,HS_MID,"NUMBER(12,0)",,,,Y,22,,Hs Identifikator zapisa
03_COLUMN,JN_DEL_STAVBE,,8,LETO_OBN_OKEN,"NUMBER(4,0)",,,,Y,22,,Leto obn oken
03_COLUMN,JN_DEL_STAVBE,,9,LETO_OBN_INST,"NUMBER(4,0)",,,,Y,22,,Leto obn inst
03_COLUMN,JN_DEL_STAVBE,,10,ST_NADSTROPJA,"NUMBER(3,0)",,,,Y,22,,Številka nadstropja
03_COLUMN,JN_DEL_STAVBE,,11,ID_LEGA,"NUMBER(12,0)",,,,Y,22,,FK na SIF_LEGA.ID_LEGA
03_COLUMN,JN_DEL_STAVBE,,12,PROSTORNINA,"NUMBER(10,1)",,,,Y,22,,Prostornina
03_COLUMN,JN_DEL_STAVBE,,13,IMA_DVIGALO_DN,"NUMBER(1,0)",,,,Y,22,,Ima dvigalo
03_COLUMN,JN_DEL_STAVBE,,14,VISINA_ETAZE,"NUMBER(4,1)",,,,Y,22,,Visina etaze
03_COLUMN,JN_DEL_STAVBE,,15,ID_DR_DST,"NUMBER(12,0)",,,,Y,22,,Identifikator dr dst
03_COLUMN,JN_DEL_STAVBE,,16,JN_REV_NUM,"NUMBER(12,0)",,,,N,22,,Stevilka revizije spremembe
03_COLUMN,JN_DEL_STAVBE,,17,JN_REV_NUM_TO,"NUMBER(12,0)",,,,Y,22,,Jn rev num to
03_COLUMN,JN_DEL_STAVBE,,18,JN_REV_NUM_PREV,"NUMBER(12,0)",,,,Y,22,,Jn rev num prev
03_COLUMN,JN_DEL_STAVBE,,19,JN_STATUS,CHAR(1 BYTE),,,,Y,1,,Jn Status
03_COLUMN,JN_DEL_STAVBE,,20,DELEZ_DST_STAVBA,"NUMBER(7,6)",,,,Y,22,,Delez dst stavba
03_COLUMN,JN_DEL_STAVBE,,21,ZPS_DST,"NUMBER(10,2)",,,,Y,22,,Zps dst
03_COLUMN,JN_DEL_STAVBE,,22,ID_MODEL,VARCHAR2(10 CHAR),,,,Y,40,,Identifikator model
03_COLUMN,JN_DEL_STAVBE,,23,CCSI_STAR,VARCHAR2(10 CHAR),,,,Y,40,,Ccsi star
03_COLUMN,JN_DEL_STAVBE,,24,IMA_KATAS_VPIS_DN,"NUMBER(1,0)",,,,Y,22,,Ima katas vpis
03_COLUMN,JN_DEL_STAVBE,,25,EID,"NUMBER(20,0)",,,,Y,22,,Eid
03_COLUMN,JN_DEL_STAVBE,,26,HS_MID_CENX,NUMBER,,,,Y,22,,Hs Identifikator zapisa Centroid x
03_COLUMN,JN_DEL_STAVBE,,27,HS_MID_CENY,NUMBER,,,,Y,22,,Hs Identifikator zapisa Centroid y
03_COLUMN,JN_DEL_STAVBE,,28,HS_MID_CENTROID,SDO_GEOMETRY,,,,Y,1,,Hs Identifikator zapisa centroid
04_CONSTRAINT,JN_DEL_STAVBE,JN_DEL_STAVBE_PK,1,DST_SID,P,P,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_DEL_STAVBE,JN_DEL_STAVBE_PK,2,JN_REV_NUM,P,P,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_DEL_STAVBE,SYS_C00101427,,DST_SID,C,C,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_DEL_STAVBE,SYS_C00101428,,STA_SID,C,C,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_DEL_STAVBE,SYS_C00101429,,STEV_DST,C,C,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_DEL_STAVBE,SYS_C00101430,,JN_REV_NUM,C,C,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
05_INDEX,JN_DEL_STAVBE,JN_DEL_STAVBE_PK_JNFT_IX,1,DST_SID,DST_SID,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_DEL_STAVBE,JN_DEL_STAVBE_PK_JNFT_IX,2,JN_REV_NUM,JN_REV_NUM,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_DEL_STAVBE,JN_DEL_STAVBE_PK_JNFT_IX,3,JN_REV_NUM_TO,JN_REV_NUM_TO,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_DEL_STAVBE,JN_DEL_STAVBE_PK_JNF_IX,1,DST_SID,DST_SID,,,,UNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_DEL_STAVBE,JN_DEL_STAVBE_PK_JNF_IX,2,JN_REV_NUM,JN_REV_NUM,,,,UNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_DEL_STAVBE,JN_DEL_STAVBE_REV_IDX,1,JN_REV_NUM_TO,JN_REV_NUM_TO,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_DEL_STAVBE,JN_DEL_STAVBE_REV_IX,1,JN_REV_NUM,JN_REV_NUM,,,,NONUNIQUE,FUNCTION-BASED NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_DEL_STAVBE,JN_DEL_STAVBE_REV_IX,2,SYS_NC00036$,SYS_NC00036$,,,,NONUNIQUE,FUNCTION-BASED NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_DEL_STAVBE,JN_DEL_STAVBE_STASIDSTEVDST_IX,1,STA_SID,STA_SID,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_DEL_STAVBE,JN_DEL_STAVBE_STASIDSTEVDST_IX,2,STEV_DST,STEV_DST,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_DEL_STAVBE,JN_DEL_STAVBE_STASIDSTEVREV_IX,1,STA_SID,STA_SID,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_DEL_STAVBE,JN_DEL_STAVBE_STASIDSTEVREV_IX,2,STEV_DST,STEV_DST,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_DEL_STAVBE,JN_DEL_STAVBE_STASIDSTEVREV_IX,3,JN_REV_NUM,JN_REV_NUM,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_DEL_STAVBE,JN_DEL_STAVBE_STASIDSTEVREV_IX,4,JN_REV_NUM_TO,JN_REV_NUM_TO,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
06_LOB,JN_DEL_STAVBE,SYS_LOB0001053825C00034$$,,"""HS_MID_CENTROID"".""SDO_ELEM_INFO""",SYS_LOB0001053825C00034$$,,,,YES,YES,YES,TABLESPACE=EV_TS
06_LOB,JN_DEL_STAVBE,SYS_LOB0001053825C00035$$,,"""HS_MID_CENTROID"".""SDO_ORDINATES""",SYS_LOB0001053825C00035$$,,,,YES,YES,YES,TABLESPACE=EV_TS
01_OBJECT,JN_DEL_STAVBE_ENOTA,,,,,,,,OBJECT NOT FOUND,,,
01_OBJECT,JN_PARCELA,,,,,,,,TABLE,VALID,2026-07-24 09:37:30,
02_TABLE,JN_PARCELA,,,,,,,,26286228,91,2025-06-13 22:11:27,
03_COLUMN,JN_PARCELA,,1,PC_MID,"NUMBER(12,0)",,,,N,22,,Identifikator parcele
03_COLUMN,JN_PARCELA,,2,OB_MID,"NUMBER(12,0)",,,,N,22,,Identifikator zapisa obcine
03_COLUMN,JN_PARCELA,,3,KO_SIFKO,"NUMBER(4,0)",,,,N,22,,Sifra katasterske obcine
03_COLUMN,JN_PARCELA,,4,PARCELA,VARCHAR2(10 CHAR),,,,N,40,,Stevilka parcele
03_COLUMN,JN_PARCELA,,5,POVRSINA,"NUMBER(15,2)",,,,N,22,,Površina
03_COLUMN,JN_PARCELA,,6,CENX,"NUMBER(28,9)",,,,Y,22,,Centroid x
03_COLUMN,JN_PARCELA,,7,CENY,"NUMBER(28,9)",,,,Y,22,,Centroid y
03_COLUMN,JN_PARCELA,,8,CENTROID,SDO_GEOMETRY,,,,Y,1,,Centroid
03_COLUMN,JN_PARCELA,,9,BONITETA,"NUMBER(3,0)",,,,Y,22,,Boniteta
03_COLUMN,JN_PARCELA,,10,ODPRTOST,"NUMBER(8,0)",,,,Y,22,,Odprtost
03_COLUMN,JN_PARCELA,,11,RK,"NUMBER(8,0)",,,,Y,22,,Rk
03_COLUMN,JN_PARCELA,,12,JN_REV_NUM,"NUMBER(12,0)",,,,N,22,,Stevilka revizije spremembe
03_COLUMN,JN_PARCELA,,13,JN_REV_NUM_TO,"NUMBER(12,0)",,,,Y,22,,Jn rev num to
03_COLUMN,JN_PARCELA,,14,JN_REV_NUM_PREV,"NUMBER(12,0)",,,,Y,22,,Jn rev num prev
03_COLUMN,JN_PARCELA,,15,JN_STATUS,CHAR(1 BYTE),,,,Y,1,,Jn Status
03_COLUMN,JN_PARCELA,,16,EID,"NUMBER(20,0)",,,,Y,22,,Eid
04_CONSTRAINT,JN_PARCELA,JN_PARCELA_PK,1,PC_MID,P,P,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_PARCELA,JN_PARCELA_PK,2,JN_REV_NUM,P,P,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_PARCELA,SYS_C00101507,,PC_MID,C,C,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_PARCELA,SYS_C00101508,,OB_MID,C,C,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_PARCELA,SYS_C00101509,,KO_SIFKO,C,C,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_PARCELA,SYS_C00101510,,PARCELA,C,C,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_PARCELA,SYS_C00101511,,POVRSINA,C,C,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_PARCELA,SYS_C00101512,,JN_REV_NUM,C,C,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
05_INDEX,JN_PARCELA,JN_PARCELA_KOPARCELAREV_IX,1,KO_SIFKO,KO_SIFKO,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARCELA,JN_PARCELA_KOPARCELAREV_IX,2,PARCELA,PARCELA,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARCELA,JN_PARCELA_KOPARCELAREV_IX,3,JN_REV_NUM,JN_REV_NUM,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARCELA,JN_PARCELA_KOPARCELAREV_IX,4,JN_REV_NUM_TO,JN_REV_NUM_TO,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARCELA,JN_PARCELA_KOPARCELA_IX,1,KO_SIFKO,KO_SIFKO,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARCELA,JN_PARCELA_KOPARCELA_IX,2,PARCELA,PARCELA,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARCELA,JN_PARCELA_PK_JNFT_IX,1,PC_MID,PC_MID,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARCELA,JN_PARCELA_PK_JNFT_IX,2,JN_REV_NUM,JN_REV_NUM,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARCELA,JN_PARCELA_PK_JNFT_IX,3,JN_REV_NUM_TO,JN_REV_NUM_TO,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARCELA,JN_PARCELA_PK_JNF_IX,1,PC_MID,PC_MID,,,,UNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARCELA,JN_PARCELA_PK_JNF_IX,2,JN_REV_NUM,JN_REV_NUM,,,,UNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARCELA,JN_PARCELA_REV_IDX,1,JN_REV_NUM_TO,JN_REV_NUM_TO,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARCELA,JN_PARCELA_REV_IX,1,JN_REV_NUM,JN_REV_NUM,,,,NONUNIQUE,FUNCTION-BASED NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARCELA,JN_PARCELA_REV_IX,2,SYS_NC00024$,SYS_NC00024$,,,,NONUNIQUE,FUNCTION-BASED NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
06_LOB,JN_PARCELA,SYS_LOB0001053859C00014$$,,"""CENTROID"".""SDO_ELEM_INFO""",SYS_LOB0001053859C00014$$,,,,YES,YES,YES,TABLESPACE=EV_TS
06_LOB,JN_PARCELA,SYS_LOB0001053859C00015$$,,"""CENTROID"".""SDO_ORDINATES""",SYS_LOB0001053859C00015$$,,,,YES,YES,YES,TABLESPACE=EV_TS
01_OBJECT,JN_PARC_DEL,,,,,,,,TABLE,VALID,2026-07-24 09:37:30,
02_TABLE,JN_PARC_DEL,,,,,,,,18238911,45,2025-12-22 22:02:12,
03_COLUMN,JN_PARC_DEL,,1,ID_PARC_DEL,VARCHAR2(25 BYTE),,,,N,25,,Identifikator parc del
03_COLUMN,JN_PARC_DEL,,2,PC_MID,"NUMBER(12,0)",,,,N,22,,Identifikator parcele
03_COLUMN,JN_PARC_DEL,,3,ID_NR_PARC,"NUMBER(12,0)",,,,Y,22,,Identifikator nr parc
03_COLUMN,JN_PARC_DEL,,4,ID_DR_PARC,"NUMBER(12,0)",,,,Y,22,,Identifikator dr parc
03_COLUMN,JN_PARC_DEL,,5,DELEZ_POVRSINE,"NUMBER(8,5)",,,,N,22,,Delez povrsine
03_COLUMN,JN_PARC_DEL,,6,JN_REV_NUM,"NUMBER(12,0)",,,,N,22,,Stevilka revizije spremembe
03_COLUMN,JN_PARC_DEL,,7,JN_REV_NUM_TO,"NUMBER(12,0)",,,,Y,22,,Jn rev num to
03_COLUMN,JN_PARC_DEL,,8,JN_REV_NUM_PREV,"NUMBER(12,0)",,,,Y,22,,Jn rev num prev
03_COLUMN,JN_PARC_DEL,,9,JN_STATUS,CHAR(1 BYTE),,,,Y,1,,Jn Status
03_COLUMN,JN_PARC_DEL,,10,ID_MODEL,VARCHAR2(10 CHAR),,,,Y,40,,Identifikator model
03_COLUMN,JN_PARC_DEL,,11,MESSAGE,VARCHAR2(200 CHAR),,,,Y,800,,Message
04_CONSTRAINT,JN_PARC_DEL,JN_PARC_DEL_PK,1,ID_PARC_DEL,P,P,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_PARC_DEL,JN_PARC_DEL_PK,2,JN_REV_NUM,P,P,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_PARC_DEL,SYS_C00101514,,ID_PARC_DEL,C,C,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_PARC_DEL,SYS_C00101515,,PC_MID,C,C,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_PARC_DEL,SYS_C00101516,,DELEZ_POVRSINE,C,C,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
04_CONSTRAINT,JN_PARC_DEL,SYS_C00101517,,JN_REV_NUM,C,C,,,ENABLED,VALIDATED,,DEFERRABLE=NOT DEFERRABLE; DEFERRED=IMMEDIATE
05_INDEX,JN_PARC_DEL,JN_PARC_DEL_PCMIF_JNFT_IX,1,PC_MID,PC_MID,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARC_DEL,JN_PARC_DEL_PCMIF_JNFT_IX,2,JN_REV_NUM,JN_REV_NUM,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARC_DEL,JN_PARC_DEL_PCMIF_JNFT_IX,3,JN_REV_NUM_TO,JN_REV_NUM_TO,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARC_DEL,JN_PARC_DEL_PK_JNFT_IX,1,ID_PARC_DEL,ID_PARC_DEL,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARC_DEL,JN_PARC_DEL_PK_JNFT_IX,2,JN_REV_NUM,JN_REV_NUM,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARC_DEL,JN_PARC_DEL_PK_JNFT_IX,3,JN_REV_NUM_TO,JN_REV_NUM_TO,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARC_DEL,JN_PARC_DEL_PK_JNF_IX,1,ID_PARC_DEL,ID_PARC_DEL,,,,UNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARC_DEL,JN_PARC_DEL_PK_JNF_IX,2,JN_REV_NUM,JN_REV_NUM,,,,UNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
05_INDEX,JN_PARC_DEL,JN_PARC_DEL_REV_IDX,1,JN_REV_NUM_TO,JN_REV_NUM_TO,,,,NONUNIQUE,NORMAL,ASC,STATUS=VALID; PARTITIONED=NO; COMPRESSION=DISABLED
01_OBJECT,JN_PARC_ENOTA,,,,,,,,TABLE,VALID,2026-07-24 09:37:30,
02_TABLE,JN_PARC_ENOTA,,,,,,,,90939157,489,2026-03-23 21:03:22,
03_COLUMN,JN_PARC_ENOTA,,1,ID_PARC_ENOTA,VARCHAR2(25 BYTE),,,,N,25,,Identifikator parc enota
03_COLUMN,JN_PARC_ENOTA,,2,PC_MID,"NUMBER(12,0)",,,,N,22,,Identifikator parcele
