fid,koda_obm,nv_status,ime_obm,nv_kratka_oznaka,nv_zvrsti,nv_pomen,nv_rezim_vstop,nv_koord_e,nv_koord_n,geometry
ZOS_NV_PNT_JAME.14094,48302,,O-73,Poševno ali stopnjasto brezno,geomorfp,državni,3,382119,136253,POINT (382119.4694 136252.5394)
ZOS_NV_PNT_JAME.14101,48309,,Jama Ogenca,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,472076,62171,POINT (472076 62171)
ZOS_NV_PNT_JAME.14121,48329,,Kašepovo brezno,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,458298,44786,POINT (458298.0312 44785.8137999997)
ZOS_NV_PNT_JAME.14139,48347,,Gra 3 (Gradišče),"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,425408,45246,POINT (425407.5921 45246.2850000001)
ZOS_NV_PNT_JAME.10054,44262,,Ždrocla 2,Brezno s stalnim ledom,geomorfp,državni,3,458658,48026,POINT (458658.1296 48025.8460000008)
ZOS_NV_PNT_JAME.10064,44272,,Brezno 1 pri Barki,Poševno ali stopnjasto brezno,geomorfp,državni,3,451548,57066,POINT (451548.2261 57066.0098999999)
ZOS_NV_PNT_JAME.10075,44283,,Lukičeva jama,Brezno s snegom,geomorfp,državni,3,453078,43678,POINT (453078 43678)
ZOS_NV_PNT_JAME.10081,44289,,Poletina jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,437078,38666,POINT (437077.6702 38666.1313000005)
ZOS_NV_PNT_JAME.20383,54591,,Zijalka s kaminom na Durcah,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,480613,141723,POINT (480613 141723)
ZOS_NV_PNT_JAME.20399,54607,,Brezno MOG-M36 (Možnica),Brezno,geomorfp,državni,3,387132,139376,POINT (387132 139376)
ZOS_NV_PNT_JAME.20413,54621,,KA 15 (Kanin),Poševno ali stopnjasto brezno,geomorfp,državni,3,381631,133941,POINT (381631 133941)
ZOS_NV_PNT_JAME.20425,54633,,LJ 63 (Kanin),"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,381853,134036,POINT (381853 134036)
ZOS_NV_PNT_JAME.20438,54646,,Polžji dol,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,414539,122787,POINT (414539 122787)
ZOS_NV_PNT_JAME.20448,54656,,Piskr,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,413359,123054,POINT (413359 123054)
ZOS_NV_PNT_JAME.20458,54666,,Lutalica,Poševno ali stopnjasto brezno,geomorfp,državni,3,454295,51598,POINT (454295 51598)
ZOS_NV_PNT_JAME.20464,54672,,Jama na Gradišču,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,463683,129660,POINT (463683 129660)
